summary,type,numViews,numLikes,numComments,numShares,engagementRate,numEmojies,numHashtags,numLinks,hashtags,labels,createdAt,link,,,,,,
Always great to be back ...,Image,3694,56,1,0,0.015430428,0,2,0,"Humanites,Arts",,10/5/2022 20:38,https://www.linkedin.com/feed/update/urn:li:activity:6983495536431575040,,,,,,
#IEVentureDay is here! 🔵...,Text,3597,67,2,2,0.019738671,11,2,1,"IEVentureDay,IETower",,11/30/2022 17:05,https://www.linkedin.com/feed/update/urn:li:activity:7003750932224094209,,,,,,
Thank you EFMD Global fo...,Article,3125,69,1,1,0.02272,3,0,1,,,3/9/2023 16:05,https://www.linkedin.com/feed/update/urn:li:activity:7039610788474433536,,,,,,
On behalf of IE Business...,Text,3060,63,9,0,0.023529412,1,2,1,"kahramanmaraş,WeAreIE",,2/10/2023 17:04,https://www.linkedin.com/feed/update/urn:li:activity:7029842593228177408,,,,,,
Join us at the 7th annua...,Article,2904,63,1,1,0.02238292,7,1,2,internationalwomensday2023,,3/6/2023 17:05,https://www.linkedin.com/feed/update/urn:li:activity:7038523624714035200,,,,,,
Looking forward to #GAW2...,Text,2731,61,2,0,0.023068473,5,2,0,"GAW2023,GAW",,4/25/2023 16:02,https://www.linkedin.com/feed/update/urn:li:activity:7056628357387403264,,,,,,
It was a great pleasure ...,Text,2440,60,0,0,0.024590164,0,4,0,"NextBestYou,BusinessWithPurpose,sustainability,PositiveLeadership",,2/2/2023 10:49,https://www.linkedin.com/feed/update/urn:li:activity:7026849162381922304,,,,,,
Congratulations to the t...,Text,2428,46,0,0,0.018945634,2,0,0,,,11/3/2022 19:09,https://www.linkedin.com/feed/update/urn:li:activity:6993997668867796994,,,,,,
It’s fantastic Lilian Lo...,Text,2386,23,3,0,0.010896899,4,1,0,NextBestYou,,1/28/2023 12:33,https://www.linkedin.com/feed/update/urn:li:activity:7025063375529259008,,,,,,
🎓 🙌 Congratulations to ....,Text,2347,38,0,0,0.016190882,2,1,0,NextBestYou,,12/20/2022 14:20,https://www.linkedin.com/feed/update/urn:li:activity:7010957126730702849,,,,,,
Proud to see IE Business...,Text,2014,41,1,0,0.020854022,1,1,0,NewWorldofWork,,5/2/2023 16:34,https://www.linkedin.com/feed/update/urn:li:activity:7059167675163230208,,,,,,
"Dear Alumnae/i,

🔹I'm lo...",Text,1975,31,1,0,0.016202532,3,0,0,,,3/2/2023 9:56,https://www.linkedin.com/feed/update/urn:li:activity:7036975519174643712,,,,,,
The #HayFestival Segovia...,Article,1966,28,0,1,0.014750763,0,1,2,HayFestival,,9/15/2022 18:18,https://www.linkedin.com/feed/update/urn:li:activity:6976212627462983680,,,,,,
A fantastic initiative b...,Text,1899,12,1,0,0.006845708,0,0,0,,,11/17/2022 14:36,https://www.linkedin.com/feed/update/urn:li:activity:6999002356491128832,,,,,,
Excited to welcome our f...,Text,1830,18,0,0,0.009836066,0,0,0,,,9/28/2022 21:11,https://www.linkedin.com/feed/update/urn:li:activity:6980967204896845824,,,,,,
Great to see the immersi...,Text,1773,23,1,0,0.013536379,1,1,0,NextBestYou,,5/3/2023 21:43,https://www.linkedin.com/feed/update/urn:li:activity:7059612201040379904,,,,,,
¡Calling all IE alumni e...,Text,1719,16,0,0,0.009307737,2,0,0,,,11/3/2022 18:40,https://www.linkedin.com/feed/update/urn:li:activity:6993990364885868544,,,,,,
Looking forward to joini...,Text,1569,19,2,0,0.013384321,1,2,0,"NextBestYou,BusinessWithPurpose",,10/14/2022 10:31,https://www.linkedin.com/feed/update/urn:li:activity:6986604382389702656,,,,,,
**IE Africa Business For...,Text,1434,11,0,0,0.007670851,1,0,0,,,5/15/2023 9:20,https://www.linkedin.com/feed/update/urn:li:activity:7063774165853437952,,,,,,
"HAPPINESS WEEK is HERE

...",Text,1426,17,0,0,0.011921459,6,1,1,NextBestYou,,3/22/2023 10:29,https://www.linkedin.com/feed/update/urn:li:activity:7044222117902442496,,,,,,
🚀 IE Entrepeneurs in Mad...,Text,1369,15,1,0,0.011687363,4,0,0,,,6/6/2023 11:31,https://www.linkedin.com/feed/update/urn:li:activity:7071763475114409984,,,,,,
Do you have the will 💙 a...,Text,1317,16,0,0,0.012148823,3,5,0,"NextBestYou,LearningInnovation,BusinessEducation,EdTech,InstructionalDesign",,3/3/2023 10:58,https://www.linkedin.com/feed/update/urn:li:activity:7037354994152398848,,,,,,
Are you working to build...,Text,683,11,0,0,0.016105417,1,2,0,"positiveleadership,wellbeing",,9/26/2022 15:05,https://www.linkedin.com/feed/update/urn:li:activity:6980150418567757824,,,,,,
Looking forward to Septe...,Text,333,4,0,0,0.012012012,1,1,0,NextBestYou,,5/3/2023 23:07,https://www.linkedin.com/feed/update/urn:li:activity:7059616500294295552,,,,,,
